FilePath,AzureTags,AzureCategory,RoboflowCategory,OCRText,OCRCategory,FinalCategory
2_doc0_compressed.jpg,"'text' with confidence 100.00%, 'screenshot' with confidence 98.47%, 'font' with confidence 93.15%, 'design' with confidence 49.56%",shop,,ECC Fitness Center ECC 휘트니스센터 운영 시간 -: OPEN 07:00 / CLOSE 21:00 E: OPEN 09:00 / CLOSE 17:00 입장 마감시간: 월-금 20:20 / 토 16:10 일요일과 공휴일은 운영하지 않으니 이용에 착오 없으시길 바랍니다. Fitness Center O Facility hours MON-FRI: OPEN 07:00 / CLOSE 21:00 Sat: open 09:00 / close 17:00 Last entry time: Mon-Fri 20:20 / Sat: 16:10 Please be informed about the ECC fitness center Opening hours. We are not open on Holidays and Sundays. ECC FITNESS CENTER ECC Fitness Center ECC 휘트니스 센터 운영 시간 - : OPEN 07:00 / CLOSE 21:00 E : OPEN 09:00 / CLOSE 17:00 입장 마감 시간 : 월 - 금 20:20 / 토 16:10 일요일 과 공휴일 은 운영 하지 않으니 이용 에 착오 없으시길 바랍니다 . Fitness Center O Facility hours MON - FRI : OPEN 07:00 / CLOSE 21:00 Sat : open 09:00 / close 17:00 Last entry time : Mon - Fri 20:20 / Sat : 16:10 Please be informed about the ECC fitness center Opening hours . We are not open on Holidays and Sundays . ECC FITNESS CENTER,문서 & 정보,문서 & 정보
2_doc1_compressed.jpg,"'text' with confidence 100.00%, 'screenshot' with confidence 96.85%, 'menu' with confidence 90.56%, 'food' with confidence 47.15%",other,,"< 3:53 모두의 에타 5G 77 이화여대 익명 04/02 15:50 이창섭 사건 조예대 앞에서 두줄로 기다리는 엄청난 수의 벗들을 두고 이창섭 씨가 차타고 사라진 후 이후 벗들이 우르르 달리며 진풍경을 연출한 사건이다 31004 ☆ㅇ 공감 ☆ 스크랩 [곧 종료] 롱치킨버거 2,000 원쿠폰! 오늘은 만나주실 거죠..? 곧 이벤트 종료, ~4/2 까지 익명 1 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 바로 갔어?? 04/02 15:51 익명 2 차 타고 가서 막 벗들이 달려서 따라갔어 04/02 15:51 با 익명 1 ... 아니ㅋㅋㅋㅋㅋㅋ벗둘 귀엽다 창섭씨는 수업 듣느라 힘들었나보다 04/02 15:52 1 익명 댓글을 입력하세요. < 3:53 모두 의 에타 5G 77 이화 여대 익명 04/02 15:50 이창섭 사건 조예 대 앞에서 두줄 로 기다리는 엄청난 수 의 벗 들을 두고 이창섭 씨 가 차 타고 사라진 후 이후 벗 들이 우르르 달리며 진풍경 을 연출한 사건 이다 31004 ☆ ㅇ 공감 ☆ 스크랩 [ 곧 종료 ] 롱 치킨 버거 2,000 원 쿠폰 ! 오늘 은 만나 주실 거죠 .. ? 곧 이벤트 종료 , ~ 4 / 2 까지 익명 1 ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ 아니 바로 갔어 ?? 04/02 15:51 익명 2 차 타고 가서 막 벗 들이 달려서 따라 갔어 04/02 15:51 با 익명 1 ... 아니 ㅋㅋㅋ ㅋㅋㅋ 벗둘 귀엽다 창 섭씨 는 수업 듣 느라 힘들었나 보다 04/02 15:52 1 익명 댓글 을 입력 하세요 .",기타,other
5_coupon0_compressed.jpg,"'text' with confidence 99.99%, 'screenshot' with confidence 89.44%, 'illustration' with confidence 59.95%, 'design' with confidence 52.99%",shop,,gifticon 마음을 전합니다 스타벅스 카페 아메리카노 T 교환수량 17H 사용기한 2022.04.21 사용처 스타벅스 gifticon 9995 5511 1741 마음을 전하는 또 다른 방법... 기프티콘 gifticon 마음 을 전 합니다 스타 벅스 카페 아메리카노 T 교환 수량 17H 사용기 한 2022.04.21 사용처 스타 벅스 gifticon 9995 5511 1741 마음 을 전하는 또 다른 방법 ... 기프티콘,기타,shop
6_chat1_compressed.jpg,"'text' with confidence 99.95%, 'screenshot' with confidence 98.60%, 'diagram' with confidence 84.94%",other,,1:25 I 68 < 664 •졸프화이팅 3 Q == AI 기반의 text-to-video 변환 3기술을 이용하여 숏폼 컨텐츠에 익숙한 현대인의 뉴스 및 정보 소비 문제를... V 토스 이벤트인디 저 링크로 들어가면 제가 천혜향을 먹을 수 있어요 김예린 6:51PM 기다려바 천혜향 먹여줄게 ㅋ 6:51PM 으어 저는 토스를 안합니다요 서연이 천혜향 꼭 머거! 6:52 PM 박서연 + Enter a message # 1:25 I 68 < 664 • 졸프 화이팅 3 Q == AI 기반 의 text - to - video 변환 기술 을 이용 하여 숏폼 컨텐츠 에 익숙한 현대인 의 뉴스 및 정보 소비 문제 를 ... V 토스 이벤트 인디 저 링크 로 들어가면 제가 천혜향 을 먹을 수 있어요 김예린 6:51 PM 기다려 바 천혜향 먹여 줄게 ㅋ 6:51 PM 으어 저는 토스 를 안합니다 요 서연 이 천혜향 꼭 머거 ! 6:52 PM 박서연 + Enter a message #,기타,other
6_chat0_compressed.jpg,"'text' with confidence 99.85%, 'screenshot' with confidence 96.80%, 'software' with confidence 87.61%, 'operating system' with confidence 84.67%",animal,,"<5 자료구조 정보공유 5 + 데사 23 박서희 오전 10:39 데사 23 박서희 꺄아아아아아아앍 오전 10:40 데사 23 최민정 오전 10:40 데사 23 박서희 주거주거주거주거주거구 데사 23 최민정 제밝,만 오전 10:40 데사 23 박서희 써궇써궇써글써글 오전 10:40 오전 10:39 @91% Q = 오전 10:40 # < 5 자료 구조 정보 공유 5 + 데사 23 박서희 오전 10:39 데사 23 박서희 꺄아 아아 아아아 앍 오전 10:40 데사 23 최민정 오전 10:40 데사 23 박서희 주거 주거 주거 주거 주거 구 데사 23 최민정 제밝 , 만 오전 10:40 데사 23 박서희 써궇 써궇 써글 써글 오전 10:40 오전 10:39 @ 91 % Q = 오전 10:40 #",기타,animal
5_coupon1_compressed.jpg,"'text' with confidence 100.00%, 'screenshot' with confidence 97.66%, 'font' with confidence 90.70%, 'logo' with confidence 87.83%, 'graphic design' with confidence 84.60%, 'design' with confidence 55.21%",shop,,"빽다방 모바일금액권 빽다방 1 만원권 PAIK'S COFFEE 즐거운 10,000 원 9213 6350 7710 교환처 빽다방 유효기간 2023 년 08 월 18 일 주문번호 1781067394 kakaotalk & 선물하기 빽 다방 모바일 금액 권 빽 다방 1 만원권 PAIK'S COFFEE 즐거운 10,000 원 9213 6350 7710 교환 처 빽 다방 유효 기간 2023 년 08 월 18 일 주문 번호 1781067394 kakaotalk & 선물 하기",예약 & 거래,예약 & 거래
3_ticket1_compressed.jpg,"'text' with confidence 100.00%, 'screenshot' with confidence 99.31%, 'font' with confidence 90.45%, 'number' with confidence 87.32%, 'software' with confidence 87.26%, 'web page' with confidence 86.56%",other,,"1:131 타임라인 100 Bars 경고 지나친 음주는 뇌졸중 기억력 손상이나 치매를 유발합니다. 임신중 음주는 기형아 출생 위험을 높입니다. Heineken X 지난 예약 취소한 내역 보기> 기간 전체 음식점 카페 숙박 공연/전시 2.14 금 심퍼티쿠시 성수점 양식·서울 성동구 성수동 1 가 ⑤ 오전 11:30-1 번째 방문 ■ 2 인 테이블 [다시 예약 ■ 예약 내역 * 리뷰 쓰기 2.4 화 JnS 오치과의원 병원·서울 송파구 방이동 ⑤ 오전 10:00-1 번째 방문 ■ 어디가 불편하신가요? (재진) 1.10 금 다시 예약 ■ 예약 내역 * 리뷰 쓰기 필름포레스트 ● 지도보기 ↑ 사진,스튜디오 ⑤ 오후 6:00. 1 번째 방문 Jan Reservation (TE) 1 : 131 타임 라인 100 Bars 경고 지나친 음주 는 뇌졸중 기억력 손상 이나 치매 를 유발 합니다 . 임신 중 음주 는 기형아 출생 위험 을 높 입니다 . Heineken X 지난 예약 취소 한 내역 보기 > 기간 전체 음식점 카페 숙박 공연 / 전시 2.14 금 심 퍼티 쿠시 성수 점 양식 · 서울 성동구 성수동 1 가 ⑤ 오전 11 : 30-1 번째 방문 ■ 2 인 테이블 [ 다시 예약 ■ 예약 내역 * 리뷰 쓰기 2.4 화 JnS 오 치과 의원 병원 · 서울 송파구 방이동 ⑤ 오전 10 : 00-1 번째 방문 ■ 어디가 불편 하신가요 ? ( 재진 ) 1.10 금 다시 예약 ■ 예약 내역 * 리뷰 쓰기 필름 포레스트 ● 지도 보기 ↑ 사진 , 스튜디오 ⑤ 오후 6:00 . 1 번째 방문 Jan Reservation ( TE )",예약 & 거래,예약 & 거래
3_ticket0_compressed.jpg,"'text' with confidence 100.00%, 'screenshot' with confidence 97.38%, 'web page' with confidence 90.38%, 'website' with confidence 89.95%, 'online advertising' with confidence 89.64%, 'software' with confidence 85.28%",shop,,8 12:38 MEGABOX TICKET 모바일 티켓 ill 23 9749-322-28320 코엑스 [응원봉 리액션] 위키드 위키드 2D(자막) 전체관람가 컴포트 3 관 [Laser] ④ 확대 상영일 상영시간 12.14 (9 (오늘) 13:00- ~ 15:40 좌석 > J12 성인 1 명 모바일티켓으로 현장 발권없이 입장 가능합니다. MEET PLAY SHARE™ MEGABOX 모바일오더 포토카드 티켓북 예매취소 8 12:38 MEGABOX TICKET 모바일 티켓 ill 23 9749-322-28320 코엑스 [ 응원 봉 리액션 ] 위키드 위키드 2D ( 자막 ) 전체 관람가 컴포트 3 관 [ Laser ] ④ 확대 상영 일 상영 시간 12.14 ( 9 ( 오늘 ) 13 : 00- ~ 15:40 좌석 > J12 성인 1 명 모바일 티켓 으로 현장 발권 없이 입장 가능 합니다 . MEET PLAY SHARE ™ MEGABOX 모바일 오더 포토 카드 티켓북 예매 취소,예약 & 거래,예약 & 거래
8_animal0_compressed.jpg,"'indoor' with confidence 94.75%, 'person' with confidence 93.21%, 'pet' with confidence 88.91%, 'dog breed' with confidence 88.82%, 'poodle crossbreed' with confidence 86.92%, 'labradoodle' with confidence 84.66%, 'terrier' with confidence 84.49%, 'wall' with confidence 71.32%, 'holding' with confidence 70.22%, 'dog' with confidence 66.55%, 'puppy' with confidence 54.31%, 'poodle' with confidence 50.09%",animal,,,기타,animal
8_animal1_compressed.jpg,"'indoor' with confidence 96.85%, 'pet' with confidence 95.86%, 'fur' with confidence 88.80%, 'stuffed' with confidence 88.72%, 'dog breed' with confidence 88.66%, 'teddy bear' with confidence 88.10%, 'stuffed toy' with confidence 87.12%, 'terrier' with confidence 87.07%, 'puppy' with confidence 85.62%, 'mammal' with confidence 85.20%, 'animal' with confidence 85.00%, 'dog' with confidence 79.79%, 'brown' with confidence 76.46%",animal,,,기타,animal
9_people1_compressed.jpg,"'person' with confidence 99.75%, 'wall' with confidence 98.42%, 'clothing' with confidence 95.92%, 'indoor' with confidence 94.07%, 'cool' with confidence 89.27%, 'human face' with confidence 89.05%, 'shoulder' with confidence 87.35%, 'mirror' with confidence 84.42%, 'holding' with confidence 82.10%, 'bathroom' with confidence 68.73%, 'camera' with confidence 62.22%, 'wearing' with confidence 60.05%",shop,,txpl txpl,기타,shop
7_song1_compressed.jpg,"'text' with confidence 99.96%, 'screenshot' with confidence 97.97%, 'software' with confidence 86.70%, 'multimedia software' with confidence 84.46%, 'design' with confidence 47.96%",shop,,"10:08 Empire State Of Mind (Feat. Ali JAY-Z JAY-Z ANOSIAOY 71,001 72 THE BLUEPRINT 3 믹스업 Empire State Of Mind (Feat. Alicia Keys) - Jay-Z 0:01 x C 4:37 10:08 Empire State Of Mind ( Feat . Ali JAY - Z JAY - Z ANOSIAOY 71,001 72 THE BLUEPRINT 3 믹스 업 Empire State Of Mind ( Feat . Alicia Keys ) - Jay - Z 0:01 x C 4:37",기타,shop
9_people0_compressed.jpg,"'smile' with confidence 97.66%, 'text' with confidence 95.69%, 'screenshot' with confidence 95.05%, 'human face' with confidence 89.05%, 'person' with confidence 74.64%",people,,1:00 45 내 효과 모든 사람을 두 G 1:00 45 내 효과 모든 사람 을 두 G,기타,people
7_song0_compressed.jpg,"'text' with confidence 99.99%, 'screenshot' with confidence 98.12%, 'software' with confidence 89.37%, 'computer icon' with confidence 84.81%, 'operating system' with confidence 84.33%, 'online advertising' with confidence 84.10%",shop,,트랙 Music 2023 년 가장 즐겨 들은 트랙 Top 5 Super Shy NewJeans 총 감상 횟수는 27 회입니다 Square (2017) Yerin Baek Say I Love You 우디 (Woody) RIIZE Get A Guitar RIIZE JUNG اد KOOK 3D 정국 (Jung Kook) ★ 공유 트랙 Music 2023 년 가장 즐겨 들은 트랙 Top 5 Super Shy NewJeans 총 감상 횟수 는 27 회 입니다 Square ( 2017 ) Yerin Baek Say I Love You 우디 ( Woody ) RIIZE Get A Guitar RIIZE JUNG اد KOOK 3D 정국 ( Jung Kook ) ★ 공유,기타,shop
4_places1_compressed.jpg,"'text' with confidence 99.99%, 'screenshot' with confidence 95.08%, 'sky' with confidence 89.41%",place,,"9:45 All posts BLIMP blimp.official ♬ Jukjae • 별 보러 가자 Follow ... 02 태안 운여해변 밤이 깊을수록 아름다운 바다 바다 근처 길게 늘어진 소나무 숲과 바다에 비치는 아름다운 절경으로 유명한 해변입니다. 아늑한 석양을 즐긴 후 해변 한편에 있는 캠핑장에서 무수한 별과 은하수까지 감상해 보세요. 충청남도 태안군 고남면 장삼포로 535-57 ... 14.8K blimp.official 가을밤에 떠나기 좋은 전국 은하수 명소... more October 3, 2024. See translation + 9:45 All posts BLIMP blimp.official ♬ Jukjae • 별 보러 가자 Follow ... 02 태안 운여 해변 밤 이 깊을 수록 아름다운 바다 바다 근처 길게 늘어진 소나무 숲 과 바다 에 비치는 아름다운 절경 으로 유명한 해변 입니다 . 아늑한 석양 을 즐긴 후 해변 한편 에 있는 캠핑 장 에서 무수한 별 과 은하수 까지 감상 해 보세요 . 충청남도 태안군 고남면 장삼 포로 535-57 ... 14.8K blimp.official 가을 밤 에 떠나기 좋은 전국 은하수 명소 ... more October 3 , 2024. See translation +",기타,place
4_places0_compressed.jpg,"'outdoor' with confidence 99.88%, 'cloud' with confidence 99.02%, 'sky' with confidence 98.06%, 'nature' with confidence 97.88%, 'water' with confidence 90.02%, 'beach' with confidence 80.37%, 'ground' with confidence 78.77%, 'ocean' with confidence 59.24%, 'shore' with confidence 56.59%",place,,,기타,place
1_shop0_compressed.jpg,"'text' with confidence 99.99%, 'screenshot' with confidence 96.23%, 'human face' with confidence 95.18%, 'cosmetics' with confidence 92.40%, 'person' with confidence 91.39%, 'lotion' with confidence 83.36%, 'woman' with confidence 62.57%",shop,,"1:56 luftree ( C ONION NEWPAIR CEL CREAM <이즈앤트리 - 어니언겔크림> 랩하는거 아님ㅋㅋㅋㅋ 1.7 만 178 > G uuuuuuu_haru 팔로우 V 8,461 갑자기 아주머니께서 말을 거셔서... R _argyria 님 외 2 명이 팔로우합니다 ㄱ MEOVV. MEOW 기프트 보내기 G + 1:56 luftree ( C ONION NEWPAIR CEL CREAM < 이즈 앤 트리 - 어니언 겔 크림 > 랩 하는거 아님 ㅋ ㅋㅋㅋ 1.7 만 178 > G uuuuuuu_haru 팔로우 V 8,461 갑자기 아주머니 께서 말 을 거 셔서 ... R _argyria 님 외 2 명이 팔로우 합니다 ㄱ MEOVV . MEOW 기프트 보내기 G +",기타,shop
1_shop1_compressed.jpg,"'text' with confidence 99.99%, 'screenshot' with confidence 97.78%, 'human face' with confidence 97.56%, 'multimedia software' with confidence 84.63%, 'person' with confidence 76.68%, 'woman' with confidence 62.37%",people,,"6:59 67 예지가 주구장창 쓰는 9 천원짜리 향수의 정체는?! allure SOUL SOUL 더페이스샵 소울 시크릿 블라썸 5.3 천 싫어요 한 번 소개해드린 향수를 공유 Q 검색 ""예지 있지"" allure @allurekorea 구독 ▶ 얼루어 커버 촬영 중인 ITZY 예지에게 사랑한다... 리믹스 allure KOREA 대쪽 같은 취향 소유자 있지 예지가 몇 년째 쓰 8 Shorts. 구독 내 페이지 6:59 67 예지 가 주구 장창 쓰는 9 천원 짜리 향수 의 정체 는 ? ! allure SOUL SOUL 더 페이스 샵 소울 시크릿 블라썸 5.3 천 싫어요 한 번 소개해 드린 향수 를 공유 Q 검색 "" 예지 있지 "" allure @allurekorea 구독 ▶ 얼루어 커버 촬영 중인 ITZY 예지 에게 사랑한다 ... 리믹스 allure KOREA 대쪽 같은 취향 소유자 있지 예지 가 몇 년째 쓰 8 Shorts . 구독 내 페이지",기타,people
./dataset/RoboflowTestImgs/compressed/compressed_20250313/4_places0_compressed.jpg,,,기타,,,기타
