FilePath,AzureTags,AzureCategory,RoboflowCategory,OCRText,OCRCategory,FinalCategory
0_compressed.jpg,"'text' with confidence 99.85%, 'screenshot' with confidence 96.80%, 'software' with confidence 87.61%, 'operating system' with confidence 84.67%",animal,,"<5 자료구조 정보공유 5 + 데사 23 박서희 오전 10:39 데사 23 박서희 꺄아아아아아아앍 오전 10:40 데사 23 최민정 오전 10:40 데사 23 박서희 주거주거주거주거주거구 데사 23 최민정 제발,만 오전 10:40 데사 23 박서희 써궇써궇써글써글 오전 10:40 오전 10:39 @91% Q = 오전 10:40 # < 5 자료 구조 정보 공유 5 + 데사 23 박서희 오전 10:39 데사 23 박서희 꺄아 아아 아아아 앍 오전 10:40 데사 23 최민정 오전 10:40 데사 23 박서희 주거 주거 주거 주거 주거 구 데사 23 최민정 제발 , 만 오전 10:40 데사 23 박서희 써궇 써궇 써글 써글 오전 10:40 오전 10:39 @ 91 % Q = 오전 10:40 #",기타,animal
1_compressed.jpg,"'text' with confidence 100.00%, 'screenshot' with confidence 95.18%",other,,10:48 예슬 > ys_uerte_ 100 격한공감 항상 이런 위험은 경헌을 통해 데이터를 쌓아야 알지.. ㅎㅏ ㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋ 이건 근데 희귀위험이 아닌데 데이터 많은데 반복되는 체계적인 오류인가요? 씩 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이렁 대화를 ㅇ 메시지 보내기... 어떤 추단이죠? (+) 10:48 예슬 > ys_uerte_ 100 격한 공감 항상 이런 위험 은 경헌 을 통해 데이터 를 쌓아야 알지 .. ㅎㅏ ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ 이건 근데 희귀 위험 이 아닌데 데이터 많은데 반복 되는 체계적인 오류 인가요 ? 씩 ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ 이렁 대화 를 ㅇ 메시지 보내기 ... 어떤 추단 이죠 ? ( + ),기타,other
2_compressed.jpg,"'text' with confidence 100.00%, 'screenshot' with confidence 98.98%, 'font' with confidence 88.26%, 'design' with confidence 69.51%",shop,,"9:41 선물하기 양은경 03 의 선물 메시지카드 & 감동카드 2 OLIVE YOUNG 사용 완료 올리브영 모바일금액권 20,000 원 올리브영 기프트카드 2 만원권 8613 2430 3812 9288 1391 51 삭제 •III LTE 71 Q X 후기작성 9:41 선물 하기 양은경 03 의 선물 메시지 카드 & 감동 카드 2 OLIVE YOUNG 사용 완료 올리브 영 모바일 금액 권 20,000 원 올리브 영 기프트 카드 2 만원권 8613 2430 3812 9288 1391 51 삭제 • III LTE 71 Q X 후기 작성",기타,shop
3_compressed.jpg,"'text' with confidence 100.00%, 'screenshot' with confidence 97.60%, 'design' with confidence 48.49%",shop,,9:41 선물하기 김연수의 선물 메시지카드 & 감동카드 2 읽지 않은 메시지카드가 있어요 지금 확인해 보세요! YOAJUNG 사용 완료 요거트아이스크림의정석 4 인 요거트아이스크림 9455 7169 6958 삭제 •III LTE 71 Q X 9:41 선물 하기 김연수 의 선물 메시지 카드 & 감동 카드 2 읽지 않은 메시지 카드 가 있어요 지금 확인해 보세요 ! YOAJUNG 사용 완료 요거트 아이스크림 의정석 4 인 요거트 아이스크림 9455 7169 6958 삭제 • III LTE 71 Q X,기타,shop
4_compressed.jpg,"'text' with confidence 99.99%, 'screenshot' with confidence 98.01%, 'software' with confidence 84.28%",other,,데사 23 박서희 전쥐윤 오후 6:13 데사 23 박서희 전찍찍이윤 오후 6:13 + 오후 6:13 살치살타다끼 | C # 데사 23 박서희 전 쥐윤 오후 6:13 데사 23 박서희 전 찍찍이 윤 오후 6:13 + 오후 6:13 살치살 타다 끼 | C #,기타,other
5_compressed.jpg,"'text' with confidence 99.76%, 'food' with confidence 94.29%, 'snack' with confidence 92.37%, 'dessert' with confidence 90.75%, 'fruit' with confidence 87.66%",other,,KOREAN DESSERT CARE Sulbing 설빙 애플망고치즈설빙 6139 5721 8921 교환처 설빙 유효기간 2025 년 08 월 21 일 주문번호 2589370746 kakaotalk & 선물하기 KOREAN DESSERT CARE Sulbing 설빙 애플 망고 치즈 설빙 6139 5721 8921 교환 처 설빙 유효 기간 2025 년 08 월 21 일 주문 번호 2589370746 kakaotalk & 선물 하기,예약 & 거래,예약 & 거래
6_compressed.jpg,"'text' with confidence 99.96%, 'screenshot' with confidence 98.41%, 'diagram' with confidence 90.34%, 'font' with confidence 89.72%, 'design' with confidence 40.95%",shop,,9:56 < 619 해옹곰 해옹곰 ㅇ 48 해옹곰 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 마니 뽀둥하긴 해.. 정말 동그래졌어.. 재옹아 1:20 AM 나 토요일밖에 중국어학원 갈 시간이 없어 서 다시 일요일로.. 해야겠다.. 1:21AM 너 완전히 busybusybusy 베이비네 훔! 일요일 오후?? 1:58 AM 해옹곰 + Enter a message # 9:56 < 619 해 옹곰 해 옹곰 ㅇ 48 해 옹곰 ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ 마니 뽀둥 하긴 해 .. 정말 동그래 졌어 .. 재 옹아 1:20 AM 나 토요일 밖에 중국어 학원 갈 시간 이 없어 서 다시 일요일 로 .. 해야겠다 .. 1:21 AM 너 완전히 busybusybusy 베이비 네 훔 ! 일요일 오후 ?? 1:58 AM 해 옹곰 + Enter a message #,기타,shop
7_compressed.jpg,"'text' with confidence 99.97%, 'screenshot' with confidence 98.57%, 'diagram' with confidence 90.56%, 'font' with confidence 88.53%, 'parallel' with confidence 84.22%",other,,9:56 < 619 해옹곰 11:08 AM ㅇ 48 ||| == + 롸. 헤옹파르페니베아크림 2 세 나는 너의 얼굴을 항상 사랑해 11:09 AM 해옹곰 롸. 재옹크레페크림밀크치즈 2 세 나는 너의 말에 동의하지 않아 11:10 AM ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋ 11:14 AM Reply to 해옹곰 롸. 재옹크레페크림밀크치즈 2 세 우리 대화가 24 살들 대화가 아니라 무슨 4 살들이 하는 대화 같네 훔. 겨울철을 맞아 뽀둥해진 헤옹이가 보고 싶었는데 아쉽군 Enter a message # 9:56 < 619 해 옹곰 11:08 AM ㅇ 48 ||| == + 롸 . 헤옹 파르페 니베아 크림 2 세 나는 너의 얼굴 을 항상 사랑해 11:09 AM 해 옹곰 롸 . 재옹 크레페 크림 밀크 치즈 2 세 나는 너의 말 에 동의 하지 않아 11:10 AM ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋ ㅋㅋㅋ ㅋㅋㅋ 11:14 AM Reply to 해 옹곰 롸 . 재옹 크레페 크림 밀크 치즈 2 세 우리 대화 가 24 살들 대화 가 아니라 무슨 4 살 들이 하는 대화 같네 훔 . 겨울철 을 맞아 뽀둥 해진 헤 옹이 가 보고 싶었는데 아쉽군 Enter a message #,기타,other
8_compressed.jpg,"'text' with confidence 100.00%, 'screenshot' with confidence 92.90%, 'design' with confidence 44.65%",shop,,"배달의민족 상품권 10,000 [배달의민족] [배달의민 족] 모바일상품권 1 만원 2025 년 01 월 15 일까지 HF4D XA9U RF Send[B] 배달 의 민족 상품권 10,000 [ 배달 의 민족 ] [ 배달 의 민 족 ] 모바일 상품권 1 만원 2025 년 01 월 15 일 까지 HF4D XA9U RF Send [ B ]",기타,shop
9_compressed.jpg,"'text' with confidence 99.99%, 'screenshot' with confidence 98.79%, 'font' with confidence 89.89%, 'design' with confidence 54.18%",shop,,"OLIVE YOUNG 올리브영 모바일금액권 30,000 원 올리브영 기프트카드 3 만원권 8613 3430 7012 8255 1269 19 교환처 올리브영 유효기간 2025 년 11 월 15 일 주문번호 2681419550 kakaotalk & 선물하기 OLIVE YOUNG 올리브 영 모바일 금액 권 30,000 원 올리브 영 기프트 카드 3 만원권 8613 3430 7012 8255 1269 19 교환 처 올리브 영 유효 기간 2025 년 11 월 15 일 주문 번호 2681419550 kakaotalk & 선물 하기",예약 & 거래,예약 & 거래
./dataset/RoboflowTestImgs/compressed/compressed_20250313/0_compressed.jpg,,,대화 & 메시지,,,대화 & 메시지
